도로명,시작점 위도,시작점 경도,중간점_위도,중간점_경도,끝점_위도,끝점_경도,연속 일조량,총 일조량,경사도_점수(1-10점)
뚝섬로38길(0),37.5329452,127.0734018,37.533507,127.0729383,37.533507,127.0729383,3,3,0
뚝섬로38길(1),37.533072,127.0727268,37.5333313,127.0725001,37.5337885,127.0727684,3,3,0
뚝섬로38길(2),37.533507,127.0729383,37.5337885,127.0727684,37.5337885,127.0727684,4,4,0
뚝섬로38길(3),37.533507,127.0729383,37.5329452,127.0734018,37.5329452,127.0734018,2,2,0
뚝섬로38길(4),37.5337885,127.0727684,37.5341046,127.0725776,37.5341046,127.0725776,4,4,0
뚝섬로38길(5),37.5337885,127.0727684,37.533507,127.0729383,37.533507,127.0729383,4,4,0
뚝섬로38길(6),37.5337885,127.0727684,37.5333313,127.0725001,37.533072,127.0727268,3,3,0
뚝섬로38길(7),37.5341046,127.0725776,37.5337885,127.0727684,37.5337885,127.0727684,4,4,0
"['자양로7길', '뚝섬로57길'](0)",37.5325039,127.082828,37.5327187,127.0825133,37.5331433,127.0830009,0,1,0
뚝섬로47길(0),37.5326089,127.0776609,37.5331548,127.0778849,37.5331548,127.0778849,1,1,0
뚝섬로47길(1),37.5331323,127.0779622,37.5333796,127.0782415,37.5333796,127.0782415,3,3,6
뚝섬로47길(2),37.5331548,127.0778849,37.5326089,127.0776609,37.5326089,127.0776609,1,2,0
뚝섬로47길(3),37.5334106,127.0792264,37.5337809,127.078708,37.5337809,127.078708,1,2,0
뚝섬로47길(4),37.5337809,127.078708,37.5334106,127.0792264,37.5334106,127.0792264,1,2,0
뚝섬로47길(5),37.5337809,127.078708,37.5342637,127.0792632,37.5342637,127.0792632,1,1,0
뚝섬로47길(6),37.5337809,127.078708,37.5334342,127.0783093,37.5333796,127.0782415,4,4,0
뚝섬로47길(7),37.5342637,127.0792632,37.5337809,127.078708,37.5337809,127.078708,1,1,0
뚝섬로47길(8),37.5342637,127.0792632,37.5344172,127.0790662,37.534364,127.0787722,3,3,0
뚝섬로47길(9),37.534364,127.0787722,37.5344172,127.0790662,37.5342637,127.0792632,3,3,0
뚝섬로47길(10),37.5333796,127.0782415,37.5331323,127.0779622,37.5331323,127.0779622,1,1,6
뚝섬로47길(11),37.5333796,127.0782415,37.5334342,127.0783093,37.5337809,127.078708,4,4,0
뚝섬로51길(0),37.532766,127.0791649,37.5329962,127.0794362,37.5329962,127.0794362,0,0,0
뚝섬로51길(1),37.5329962,127.0794362,37.5330502,127.0794998,37.5330502,127.0794998,0,1,0
뚝섬로51길(2),37.5329962,127.0794362,37.532766,127.0791649,37.532766,127.0791649,0,0,0
뚝섬로51길(3),37.5330502,127.0794998,37.533163,127.0796327,37.533163,127.0796327,1,1,0
뚝섬로51길(4),37.5330502,127.0794998,37.5329962,127.0794362,37.5329962,127.0794362,0,1,0
뚝섬로51길(5),37.533163,127.0796327,37.5333258,127.0798245,37.5333258,127.0798245,1,1,0
뚝섬로51길(6),37.533163,127.0796327,37.5330502,127.0794998,37.5330502,127.0794998,0,1,0
뚝섬로51길(7),37.5333258,127.0798245,37.5335754,127.0801186,37.5335754,127.0801186,1,1,0
뚝섬로51길(8),37.5333258,127.0798245,37.533163,127.0796327,37.533163,127.0796327,1,1,0
뚝섬로51길(9),37.5333258,127.0798245,37.5334354,127.0796723,37.5336831,127.0799639,3,3,0
뚝섬로51길(10),37.5334195,127.0803286,37.5335754,127.0801186,37.5335754,127.0801186,3,3,0
뚝섬로51길(11),37.5335754,127.0801186,37.5333258,127.0798245,37.5333258,127.0798245,1,1,0
뚝섬로51길(12),37.5335754,127.0801186,37.5334195,127.0803286,37.5334195,127.0803286,6,6,0
뚝섬로51길(13),37.5335754,127.0801186,37.5337862,127.080367,37.5342335,127.0808653,3,3,0
뚝섬로51길(14),37.5336831,127.0799639,37.5334354,127.0796723,37.5333258,127.0798245,3,3,0
뚝섬로51길(15),37.5342335,127.0808653,37.5344216,127.0810747,37.5344216,127.0810747,1,1,0
뚝섬로51길(16),37.5342335,127.0808653,37.5337862,127.080367,37.5335754,127.0801186,3,3,0
뚝섬로51길(17),37.5344216,127.0810747,37.5346878,127.0813712,37.5346878,127.0813712,1,2,0
뚝섬로51길(18),37.5344216,127.0810747,37.5342335,127.0808653,37.5342335,127.0808653,1,1,0
뚝섬로51길(19),37.5346878,127.0813712,37.5349719,127.0816876,37.5349719,127.0816876,1,1,0
뚝섬로51길(20),37.5346878,127.0813712,37.5344216,127.0810747,37.5344216,127.0810747,1,1,0
뚝섬로51길(21),37.5349719,127.0816876,37.5357499,127.0825542,37.5357499,127.0825542,1,1,0
